7zip 26.02-1.1
wget 1.25.0-6.1
which 2.25-1.1
wireplumber 0.5.15-1.1
wl-clipboard 1:2.3.0-1.1
wpa_supplicant 2:2.12-1.1
xdg-desktop-portal-hyprland 1.4.1-1.1
xdg-user-dirs 0.20-1.1
xfsprogs 7.1.1-1.1
xl2tpd 1.3.20-1.1
yazi 26.8.15-1.1
yt-dlp 2026.08.19-1
yt-x 0.8.6-1
zen-browser-bin 1.21.16b-1
